,event,location,from,to,admision,address,category
0,DUF CHARLESTOWN BOOTCAMP,Bunker hill monument,"Monday, Aug 29, 2016  6:00a",6:45a,$10-18,"Monument Sq Charlestown , MA 02129",Sports & Active Life
1,BOOTCAMP Eastie,Bremen St. Park,"Monday, Aug 29, 2016  6:30a",7:30a,$10.00,"1 Harborside Drive East Boston , MA 02128",Sports & Active Life
2,XTEND BARRE POP UP,THE LAWN AT 3RD AVE,"Monday, Aug 29, 2016  7:00a",7:30a,FREE,"62 SECOND AVE BURLINGTON , MA 01803",Sports & Active Life
3,Oat Shop Pop-Up,The Middle Gray,"Monday, Aug 29, 2016  8:00a",12:00p,FREE,"6 Station Street Brookline , Ma 02445","< 21, Date Idea, Food, Innovation, Kid Friendly"
4,Discover BEES! In Arthropods: Creatures That Rule,Harvard Museum of Natural History,"Monday, Aug 29, 2016  9:00a",5:00p,$0-12,"26 Oxford St Cambridge , MA 02138","Kid Friendly, University"
5,Brooklyn Boulders Kids: Summer Adventure Camps,Brooklyn Boulders Somerville,"Monday, Aug 29, 2016  9:00a",3:30p,$539,"12A Tyler Street Somerville , MA 02143","Kid Friendly, Sports & Active Life"
6,Salvador JimÃ©nez-Flores: Nadie descubriÃ³ las AmÃ©ricas | No One Discovered the Americas,"Ceramics Program, Office for the Arts at Harvard","Monday, Aug 29, 2016   9:30a","Saturday, Sep 24, 2016   5:00p",FREE,"224 Western Ave Allston , MA 02134",Art
7,Pack-a-Backpack School Supply Drive at CambridgeSide - NOW through September 2,CambridgeSide,"Monday, Aug 29, 2016  10:00a",9:00p,FREE,"100 CambridgeSide Place, The Children's Place on Level 2 Cambridge , MA 02141","Kid Friendly, Social Good"
8,4th Annual Real Golfers Wear Pink Golf Tournament,Wollaston Golf Club,"Monday, Aug 29, 2016  11:30a",8:00p,$200.00,"999 Randolph Avenue Milton , Massachusetts 02186","Social Good, Sports & Active Life"
9,Beginners:  aerial yoga in South End,SWET STUDIO,"Monday, Aug 29, 2016  8:15a",1:00p,$See Website for Details,"480 Tremont Street Boston , Massachusetts 02116","Date Idea, Innovation, Sports & Active Life"
10,Grown Up Study Hall,The Democracy Center,"Monday, Aug 29, 2016  1:00p",5:30p,FREE,"45 Mount Auburn St Cambridge , MA 02138","< 21, Art, Business, Innovation, Kid Friendly, LGBT, Meetup, Social Good, Tech, University"
11,Community Yoga Class ,Down Under School of Yoga,"Monday, Aug 29, 2016  1:30p",2:30p,FREE,"1054 Beacon St Brookline , MA 02446","Social Good, Sports & Active Life"
12,Quincy Market History Tour,Faneuil Hall Marketplace,"Monday, Aug 29, 2016  11:00a",3:00p,FREE,"1 Faneuil Hall Square Boston , Massachusetts 02109",
13,Appy Hour at The Charles River Bistro,The Charles River Bistro,"Monday, Aug 29, 2016  4:00p",6:00p,FREE,"1 David G Mugar Way Boston , MA 02114","Date Idea, Food"
14,Bambara Kitchen & Bar debuts Margarita Mondays,Bambara Kitchen & Bar,"Monday, Aug 29, 2016  4:30p",6:00p,FREE,"25 Edwin H. Land Boulevard Cambridge , MA 02142",Food
15,Art and Architecture Tour,Boston AthenÃ¦um,"Monday, Aug 29, 2016  5:30p",6:30p,FREE,"10 Â½ Beacon Street Boston , MA 02108","< 21, Art, Meetup"
16,Cortometrajes y ConversaciÃ³n (Spanish Intermediate Level),Boston Area Spanish Exchange,"Monday, Aug 29, 2016  5:30p",7:00p,FREE,"50 Milk Street Boston , MA ","Business, Film, Meetup, Social Good"
17,Vinyasa Flow Yoga ,The Breathing Room - Central Square,"Monday, Aug 29, 2016  5:45p",6:45p,$15,"763 Massachusetts Avenue Cambridge , MA 02139",Sports & Active Life
18,Vegan Dinner at Shanti (Roslindale & Cambridge),Shanti Restaurant (Cambridge & Roslindale),"Monday, Aug 29, 2016  6:00p",10:00p,$35,"4197 Washington St Roslindale , MA 02131","Alcohol, Date Idea, Food, Kid Friendly"
19,Salsa in the Park,Blackstone Community Center Park,"Monday, Aug 29, 2016  6:00p",9:00p,FREE,"50 W Brookline St Boston , MA 02118","Date Idea, Music, Performing Arts"
20,Regattabar Courtyard Series: Paul Sanchez,The Regattabar,"Monday, Aug 29, 2016  6:00p",8:00p,FREE,"1 Bennett Street Cambridge , MA 02138","Date Idea, Festivals & Fairs, Music, Performing Arts"
21,M St. Park Yoga with Jeff Giberti,Medal Of Honor Park,"Monday, Aug 29, 2016  6:15p",7:15p,$10,"E 3rd St Boston , MA 02127",Sports & Active Life
22,North End Running Club: Monday Night Run,North End Greenway,"Monday, Aug 29, 2016  6:30p",8:00p,FREE,"Salem & Cross St. Boston , MA 02113","Meetup, Sports & Active Life"
23,Mon night Fun Run 5k,The Burren,"Monday, Aug 29, 2016  6:30p",8:30p,FREE,"247 Elm St Somerville , Ma 02144","Food, Social Good, Sports & Active Life"
24,"The FIXX, Eddie Japan",ONCE Somerville,"Monday, Aug 29, 2016  7:00p",11:00p,$29,"156 Highland Ave Somerville , MA 02143",Music
25,Dudley Cafe Open Comedy Mic W/ Brett Johnson and Pam Ross,Dudley Cafe,"Monday, Aug 29, 2016  7:00p",10:00p,FREE,"15 Warren St Roxbury , MA 02119","Alcohol, Art, Date Idea, Food, Meetup, Performing Arts"
26,Flume World Tour - House of Blues,House of Blues,"Monday, Aug 29, 2016   7:00p","Tuesday, Aug 30, 2016   11:30p",$45,"15 Lansdowne Street Boston , MA 02215","< 21, Alcohol, Music, Nightlife"
27,The Workout - #WorkoutKBX,Laugh Boston,"Monday, Aug 29, 2016  7:00p",11:00p,FREE,"425 Summer St Boston , Ma 02210","Alcohol, Innovation, Meetup, Music, Nightlife, Party, Performing Arts"
28,"High, Wide and Handsome",Harvard Film Archive Cinematheque,"Monday, Aug 29, 2016  7:00p",8:45p,$6-9,"24 Quincy Street Cambridge , MA 02138",Film
29,The Workout,Laugh Boston,"Monday, Aug 29, 2016   7:00p","Tuesday, Aug 30, 2016   12:00a",FREE,"425 Summer St. Boston , MA 02210","< 21, Alcohol, Food, Meetup, Music, Nightlife, Party"
30,Big Screen Classics: Alien,Coolidge Corner Theatre,"Monday, Aug 29, 2016  7:00p",9:00p,"$12 Regular, $10 Seniors and Children, $9 Coolidge Members","290 Harvard Street Brookline , MA 02446",Film
31,Trivia @ Night Shift Brewing,Night Shift Brewing,"Monday, Aug 29, 2016  7:30p",10:00p,FREE,"87 Santilli Highway Everett , MA 02149","Alcohol, Date Idea"
32,Introduction to Product Management,General Assembly Boston,"Monday, Aug 29, 2016  7:30p",9:00p,$30,"51 Melcher Street Boston , Massachusetts 02210","Business, Innovation, Tech"
33,Live Acoustic Music,Trophy Room,"Monday, Aug 29, 2016  8:00p",11:00p,FREE,"26 Chandler st boston , ma 02116","Alcohol, Date Idea, Food, LGBT, Meetup, Music, Nightlife, Party, Performing Arts"
34,DuoTone Member Concert Wrap-up with Cardboard Ox and The Horse-Eyed Men,Club Passim,"Monday, Aug 29, 2016  8:00p",10:00p,$0-10,"47 Palmer Street, Cambridge , MA 02138",Music
35,"Sex, Drugs, & Rock N Roll thinktank trivia",Common Ground,"Monday, Aug 29, 2016  8:00p",10:00p,FREE,"85 Harvard Ave Allston , MA 02134","< 21, Alcohol, Date Idea, Innovation, Meetup, Music, Nightlife, Party, Social Good"
36,McGreevy's Comedy - FREE Comedy Show!,McGreevys Boston,"Monday, Aug 29, 2016  8:00p",10:00p,FREE,"911 Boylston St. Boston , MA 02115","Alcohol, Art, Business, Date Idea, Film, Food, Innovation, LGBT, Meetup, Music, Nightlife, Party, Performing Arts, Social Good"
37,Let's Raise A Glass With Our Fellow Hospitality Friends at Besito Mexican!,Besito Mexican,"Monday, Aug 29, 2016  8:00p",10:00p,$20-30,"199 Boylston Street Chestnut Hill , Massachusetts 02467",Food
38,Stump trivia @ Common Ground Allston,Common Ground Allston,"Monday, Aug 29, 2016  8:00p",10:00p,FREE,"85 Harvard Ave Allston , Massachusetts 02134","Alcohol, Date Idea, Food, Meetup, Nightlife, Social Good"
39,Stump Trivia,The Burren Irish Bar & Restaurant,"Monday, Aug 29, 2016  8:30p",10:30p,$5,"247 Elm St Somerville , Ma 02144","Alcohol, Food, Social Good"
40,The Last Motivate Monday,Hard Rock Cafe,"Monday, Aug 29, 2016   8:30p","Tuesday, Aug 30, 2016   1:00a",$10,"22-24 Clinton St Boston , MA 02109","Music, Nightlife"
41,CitySide Comedy Presents: Alex Gettlin,Cityside Bar,"Monday, Aug 29, 2016  8:30p",10:00p,FREE,"1960 Beacon St. Boston , MA 02135","< 21, Alcohol, Date Idea, Food, Meetup, Nightlife, Party, Performing Arts"
42,Saint Anthony's Feast,North End,"Friday, Aug 26, 2016   7:00p","Monday, Aug 29, 2016   12:00p",FREE,"Hanover St Boston , MA 02114","Date Idea, Festivals & Fairs, Kid Friendly, Music"
43,Boston Architecture Cruise,Charles Riverboat Company,"Monday, May 30, 2016   10:00a","Tuesday, Aug 30, 2016   3:30p",$27.50,"100 Cambridgeside Pl Cambridge , MA 02141","Date Idea, Lectures & Conferences"
44,Top 7 Rooftop Bars in/around Boston,Boston +,"Friday, Mar 25, 2016   3:00p","Wednesday, Aug 31, 2016   11:00p",$[Varies],"Surrounding Areas Boston , MA ","Alcohol, Date Idea, Food, Nightlife"
45,Metropolitan Chorale Auditions,All Saints Church,"Monday, Aug 15, 2016   7:00p","Wednesday, Aug 31, 2016   10:00p",FREE,"1773 Beacon Street Brookline , MA 02445",Performing Arts
46,Now + There Presents Public Trust in Dudley Square,Dudley Square Branch of the Boston Public Library,"Saturday, Aug 27, 2016   10:00a","Friday, Sep 02, 2016   8:00p",FREE,"65 Warren Street Roxbury , MA 02119","Art, Kid Friendly, Performing Arts, Social Good"
47,Erik DesmaziÃ¨res: Imaginary Places,Childs Gallery,"Thursday, Jul 14, 2016   9:00a","Friday, Sep 02, 2016   6:00p",FREE,"169 Newbury Street Boston , MA 02116","Art, Kid Friendly"
48,Mollusk Madness at Saloon,Saloon,"Wednesday, Aug 03, 2016   5:00p","Monday, Sep 05, 2016   7:00p",FREE,"255 Elm Street Somerville , MA 02144","< 21, Alcohol, Business, Date Idea, Food, LGBT, Meetup, Music, Nightlife, Party"
49,Summer Getaway! 22nd Annual Summer Poster Show,International Poster Gallery,"Tuesday, Jul 05, 2016   10:00a","Monday, Sep 05, 2016   6:00p",FREE,"205 Newbury Street Boston , Massachusetts 02116",Art
50,Extraordinary Playscapes,BSA Space,"Wednesday, Jun 08, 2016   6:00p","Monday, Sep 05, 2016   11:30p",FREE,"290 Congress St. Boston , MA 02210","< 21, Art, Innovation, Kid Friendly, Social Good, Sports & Active Life"
51,'Golden Girls' Live On Stage: A Drag Parody with Music,Club Cafe,"Friday, May 27, 2016   8:00p","Sunday, Sep 11, 2016   10:00p",$50-70,"209 Columbus Ave Boston , MA 02116","LGBT, Nightlife, Performing Arts"
52,Sunset Cruise on the Charles River,Charles Riverboat Company,"Friday, Jun 24, 2016   5:30p","Monday, Sep 12, 2016   8:30p",$18,"100 Cambridgeside Pl Cambridge , MA 02141","Alcohol, Date Idea, Music"
53,The Sun Shines Today Also,Massachusetts College of Art and Design,"Wednesday, Aug 10, 2016   9:00a","Friday, Sep 16, 2016   5:00p",FREE,"621 Huntington Avenue Boston , MA 02109",Art
54,Anna Deavere Smith in 'Notes from the Field: Doing Time in Education',Loeb Drama Center,"Saturday, Aug 20, 2016   7:30p","Saturday, Sep 17, 2016   9:30p",$70-85,"64 Brattle St Cambridge , MA 02138-3443",Performing Arts
55,Codzilla: High-Speed Jet Boat Tour of Boston Harbor,Boston Harbor Cruises,"Saturday, Jun 25, 2016   12:00p","Sunday, Sep 18, 2016   6:00p",$25-30,"1 Long Wharf Boston , MA 02110",Date Idea
56,Boston Harbor Sunset Cruise,Boston Harbor Cruises,"Saturday, May 07, 2016   7:00p","Sunday, Sep 18, 2016   8:30p",$27.95,"1 Long Wharf Boston , MA 02110","Date Idea, Nightlife"
57,Moonlight & Starstruck Cruise,Massachusetts Bay Line Vessels,"Saturday, Jun 18, 2016   9:00p","Friday, Sep 23, 2016   10:30p",$22,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea, Nightlife"
58,Lasting Impressions: Art Quilts 2016,Whistler House Museum of Art,"Saturday, Aug 13, 2016   11:00a","Saturday, Sep 24, 2016   4:00p",FREE,"243 Worthen Street Lowell , MA 01851",Art
59,Pirate Ship Sunset Cruise,Massachusetts Bay Line Vessels,"Friday, Aug 05, 2016   6:30p","Saturday, Sep 24, 2016   8:30p",$45,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea"
60,Sunken Monuments Cruise Tour of Boston Harbor,Northern Lights at Rowes Wharf,"Saturday, Jun 25, 2016   1:30p","Sunday, Sep 25, 2016   3:30p",$38,"60 Rowes Wharf Boston , MA 02110","Date Idea, Lectures & Conferences"
61,Romantic Sunset Sail on Boston Harbor,"Adirondack III, Rowes Wharf","Thursday, May 12, 2016   6:30p","Sunday, Sep 25, 2016   8:30p",$55,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea, Nightlife"
62,Day Sail Along Boston Harbor,"Adirondack III, Rowes Wharf","Wednesday, May 11, 2016   3:30p","Sunday, Sep 25, 2016   5:30p",$45,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea"
