,event,location,from,to,admision,address,category
0,Allston Christmas,Allston & surrounding neighborhoods,"Thursday, Sep 01, 2016  5:00a",11:30p,FREE,"Boston Allston , MA ","Alcohol, Date Idea, Meetup, Party, Sports & Active Life"
1,MOVE BOSTON!,City-wide,"Thursday, Sep 01, 2016  6:00a",11:00p,FREE,"Boston Boston , MA 02114","Kid Friendly, Meetup, Social Good, Sports & Active Life, University"
2,Bootcamp by Greichen,Joe Moakley Park,"Thursday, Sep 01, 2016  6:00a",7:00a,$12,"1005 Columbia Road South Boston , MA 02127",Sports & Active Life
3,Indoor Rowing Class in Boston's South End,SWET STUDIO,"Thursday, Sep 01, 2016  7:00a",8:00a,$See Website for Details,"480 Tremont Street Boston , Massachusetts 02116",Sports & Active Life
4,Toddler Time at Sky Zone Danvers,Sky Zone Danvers,"Thursday, Sep 01, 2016  9:00a",10:30a,$15,"Liberty Tree Mall 100 Independence Way Danvers , Massachusetts 01923",Kid Friendly
5,On the Field at Fenway Park with Carl Yastrzemski ,"Fenway Park, Gate E","Thursday, Sep 01, 2016  9:00a",3:00p,$195,"4 Yawkey Way Boston , MA 02215","Kid Friendly, Social Good, Sports & Active Life"
6,Try a Superpedestrian bike for the day,Superpedestrian,"Thursday, Sep 01, 2016  10:00a",6:00p,$15,"84 Hamilton Street Cambridge , MA 02139","Business, Date Idea, Innovation, Sports & Active Life, Tech, University"
7,Amazing Scavenger Hunt Adventure- Boston,Boston Common,"Thursday, Sep 01, 2016  10:00a",7:00p,$9-$20,"139 Tremont Boston , Ma 02111","Date Idea, Kid Friendly, Social Good, Sports & Active Life"
8,Farmers' Market,Kendall Square,"Thursday, Sep 01, 2016  11:00a",2:00p,FREE,"350 Kendall Street Cambridge , MA 02139","Festivals & Fairs, Food, Social Good"
9,Summer Concerts at Kendall Square,Kendall Square,"Thursday, Sep 01, 2016  12:00p",1:00p,FREE,"300 Athenaeum St Cambridge , MA 02142","Date Idea, Music"
10,Namaste at the ICA-Thursdays,ICA-Boston,"Thursday, Sep 01, 2016  12:00p",1:00p,$15,"25 Harbor Street Boston , MA 02210","Art, Date Idea, Kid Friendly, Meetup, Social Good, Sports & Active Life"
11,Sweet & Savory South End Food Tasting and Neighborhood Walking Tour,South End Boston,"Thursday, Sep 01, 2016  11:30a",3:00p,$59 + tax,"Exact Meeting Location Provided Following Ticket Purchase Boston , MA 02118","Food, Date Idea"
12,CRC/bookshop,"Carpenter Center for the Visual Arts, Harvard University","Thursday, Sep 01, 2016  12:00p",6:00p,FREE,"24 Quincy Street Cambridge , Ma 02138","Art, Business, Date Idea, Film, Innovation, Lectures & Conferences, Kid Friendly, LGBT, University"
13,Summer Concerts on Summer Street,Summer Street Plaza,"Thursday, Sep 01, 2016  12:00p",1:00p,FREE,"Summer St & Washington St Boston , MA 02111",Music
14,Vinyasa Flow Yoga,The Breathing Room - Harvard Square,"Thursday, Sep 01, 2016  12:30p",1:30p,$15,"12 Arrow Street Cambridge , MA 02138",Sports & Active Life
15,ArtCart,Georges Island,"Thursday, Sep 01, 2016  1:30p",2:30p,FREE,"66 Long Wharf Boston , MA ","Art, Kid Friendly"
16,Boston Fitness Portrait Event,North End Yoga,"Thursday, Sep 01, 2016  2:00p",6:00p,$50,"256 Hanover St, 3rd Floor Boston , MA 02113","Business, Meetup, Sports & Active Life"
17,GKids: 'Kikiâs Delivery Service' and 'My Neighbor Totoro',Brattle Theatre,"Thursday, Sep 01, 2016   2:45p","Monday, Sep 05, 2016   2:00p",$8-11,"40 Brattle St in Harvard Square Cambridge , MA 02138","Film, Kid Friendly"
